name,make,model,kilometerdriven,ownernumber,price,fueltype_num,transmission_num,isc24assured_num,age
Maruti A Star,Maruti,A Star,46530,2,305000,1,2,0,12
Hyundai Elite i20,Hyundai,Elite I20,91106,1,586000,3,1,0,7
Hyundai i20,Hyundai,I20,53268,2,369000,1,1,0,11
Hyundai Verna,Hyundai,Verna,57922,1,717000,1,1,0,9
Maruti IGNIS,Maruti,Ignis,23630,1,536000,1,2,0,8
Hyundai GRAND I10 NIOS,Hyundai,Grand I10 Nios,53864,1,636199,1,1,0,5
Hyundai i20 Active,Hyundai,I20 Active,54989,2,522000,1,1,0,9
Tata NEXON,Tata,Nexon,50043,2,955000,3,1,0,7
Honda WR-V,Honda,Wr-V,22329,1,922000,1,1,0,4
Honda Amaze,Honda,Amaze,32931,1,473000,1,1,0,9
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,65364,1,409000,1,1,0,9
Hyundai AURA,Hyundai,Aura,23744,1,742000,1,0,0,5
Honda City,Honda,City,8145,1,1485000,1,2,0,3
Maruti Swift,Maruti,Swift,4888,1,609000,1,1,0,4
Maruti S PRESSO,Maruti,S Presso,3507,1,579899,2,1,0,4
Maruti Alto,Maruti,Alto,30473,1,280000,1,1,0,13
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,39018,1,439000,1,1,0,7
Maruti Baleno,Maruti,Baleno,35035,1,813000,1,2,0,7
Maruti Wagon R,Maruti,Wagon R,51755,2,268000,1,1,0,15
Tata Safari,Tata,Safari,12839,1,1632000,3,1,0,4
Tata TIGOR,Tata,Tigor,36989,2,520000,1,1,0,7
Honda Amaze,Honda,Amaze,24330,2,692000,1,1,0,7
Maruti Alto 800,Maruti,Alto 800,32334,1,353000,1,1,0,6
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,75567,1,380000,2,1,0,12
Ford Ecosport,Ford,Ecosport,79406,1,772000,3,1,0,7
Hyundai i10,Hyundai,I10,47557,1,233000,1,1,0,15
Renault Kwid,Renault,Kwid,48850,2,367000,1,2,0,9
Hyundai Creta,Hyundai,Creta,59605,1,1645000,3,2,0,5
KIA SELTOS,Kia,Seltos,26188,1,1415000,3,1,0,5
Ford Ecosport,Ford,Ecosport,60878,2,909000,2,2,0,7
Hyundai Elite i20,Hyundai,Elite I20,41796,2,539499,1,1,0,9
Mahindra BOLERO NEO,Mahindra,Bolero Neo,1341,1,1189000,3,0,0,3
Hyundai Eon,Hyundai,Eon,56285,1,330000,1,1,0,10
Honda WR-V,Honda,Wr-V,84344,1,690000,3,1,0,8
Maruti S Cross,Maruti,S Cross,40187,1,1199000,1,1,0,5
Toyota URBAN CRUISER,Toyota,Urban Cruiser,10082,1,1041000,1,0,0,4
Maruti Baleno,Maruti,Baleno,57412,1,693000,1,0,0,6
Volkswagen Polo,Volkswagen,Polo,41485,2,669000,1,1,0,5
Maruti Swift,Maruti,Swift,65710,1,477000,1,1,0,8
Hyundai Xcent,Hyundai,Xcent,37879,1,516000,1,1,0,10
KIA SONET,Kia,Sonet,15248,1,1277000,1,0,0,5
Maruti Celerio,Maruti,Celerio,514,1,647000,1,1,0,3
Maruti Celerio,Maruti,Celerio,80449,1,437000,1,2,0,8
Maruti Swift,Maruti,Swift,24738,1,736000,1,1,0,4
Hyundai Verna,Hyundai,Verna,19522,1,1086000,1,1,0,6
Maruti Eeco,Maruti,Eeco,5611,1,530500,1,1,0,4
Hyundai Grand i10,Hyundai,Grand I10,45067,1,417000,1,1,0,11
KIA SONET,Kia,Sonet,2755,1,1317000,3,0,0,3
Maruti Vitara Brezza,Maruti,Vitara Brezza,56086,1,828000,3,1,0,8
Honda Amaze,Honda,Amaze,32372,1,708000,1,1,0,6
Hyundai GRAND i10 PRIME,Hyundai,Grand I10 Prime,39732,1,526000,2,0,0,7
Toyota Corolla Altis,Toyota,Corolla Altis,60682,1,846000,1,2,0,9
Maruti Dzire,Maruti,Dzire,32288,1,646000,1,1,0,8
